"Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)"
"51,600.00","21600","7300"
"1,396,200.00","1396200","731000"
"330,000.00","330000","181900"
"1,600.00","0","1060"
"240,000.00","243675","154400"
"210,000.00","210000","131700"
"2,056.00","2056","1100"
"831.00","831","360"
"1,680.00","1680","1180"
"23,000.00","0","12030"
"1,000.00","1000","800"
"5,149.17","5149.17","2950"
"19,800.00","19800","11120"
"1,425.60","1425.6","1400"
"140,000.00","140544","84700"
"30,000.00","30000","3400"
"23,000.00","23000","14890"
"39,000.00","39000","22000"
"9,000.00","9000","4650"
"50,000.00","50000","16600"
"60,000.00","55000","19900"
"720.00","720","350"
"29,900.00","29900","15150"
"1,000.00","1000","600"
"358.40","358.4","130"
"19,000.00","19000","13480"
"460.00","460","260"
"12,400.00","12400","9010"
"2,900.00","2900","2630"
"16,065.00","0","9890"
"302.40","302.4","70"
"2,340.00","2340","1220"
"920.00","920","640"
"16,020.00","0","7640"
"1,250.00","1250","1010"
"7,200.00","7200","2690"
"46,000.00","46000","21000"
"30,000.00","30000","4200"
"550.00","550","400"
"4,000.00","4000","1980"
"15,000.00","15000","9630"
"24,000.00","24000","10100"
"1,418.40","1418.4","180"
"40,000.00","40000","24200"
"40,000.00","0","20500"
"2,100.00","0","1360"
"10,000.00","10000","4860"
"1,816.00","1616","1700"
"428.00","428","270"
"5,600.00","5600","2220"
"5,040.00","5040","3590"
"14,000.00","14000","8530"
"20,000.00","20000","6900"
"30,000.00","30000","12400"
"24,000.00","24000","10900"
"1,500.00","0","700"
"3,800.00","3800","2020"
"4,278.00","4278","2600"
"4,200.00","4200","3900"
"101,875.00","101875","40900"
"999.00","999","530"
"1,000.00","1000","530"
"2,408.00","2408","1030"
"14,000.00","14000","7140"
"28,000.00","28000","9700"
"560.00","560","320"
"1,192,000.00","1192000","499700"
"35,000.00","35000","13400"
"30,000.00","30000","13100"
"6,970.00","6970","3030"
"500.00","500","220"
"9,000.00","9000","4660"
"33,000.00","0","9100"
"33,000.00","0","9100"
"33,000.00","0","9100"
"180,000.00","180000","84600"
"22,500.00","22500","13090"
"1,216,000.00","1216000","582000"
"14,000.00","14000","6680"
"13,800.00","11360","7000"
"5,400.00","5400","3080"
"140,000.00","140040","68400"
"31,000.00","31000","8200"
"27,000.00","27000","16370"
"800.00","800","450"
"226,000.00","226000","122000"
"131,000.00","131000","71300"
"1,000.00","1000","790"
"6,000.00","6000","3440"
"399,000.00","399000","207900"
"4,040.00","4040","2990"
"56,000.00","56000","21100"
"2,082,000.00","2082000","964300"
"52,000.00","52000","28000"
"24,300.00","24400","15200"
"12,400.00","12480","7450"
"24,400.00","24400","12810"
"9,000.00","9000","4990"
"720.00","720","570"
"22,500.00","0","5500"
"40,000.00","0","12300"
"21,600.00","22020","10440"
"1,000.00","1000","680"
"8,400.00","8400","5200"
"3,400.00","3400","1610"
"85,000.00","85000","10800"
"256.00","256","210"
"1,250.00","1250","960"
"1,620.00","1620","610"
"1,720.00","1720","1140"
"19,000.00","19000","10110"
"476,000.00","492100","289500"
"1,440,000.00","1440000","689700"
"4,000.00","4000","2740"
"7,700.00","7700","1840"
"24,000.00","24000","14940"
"416.00","416","390"
"640.00","640","30"
"10,685.00","9540","4420"
"736.00","736","110"
"408,000.00","408000","198200"
"15,000.00","0","13060"
"16,000.00","18500","5800"
"22,500.00","19100","11950"
"6,468.00","6468","4660"
"10,000.00","10000","6500"
"29,232.00","29232","19990"
"510,000.00","510000","270100"
"3,000.00","3000","1940"
"2,880.00","2880","1310"
"22,700.00","22700","12620"
"29,250.00","0","13410"
"4,080.00","4080","2360"
"5,000.00","2944","3650"
"7,800.00","7800","4070"
"1,920.00","1920","1480"
"23,000.00","23000","13910"
"20,000.00","20000","10470"
"33,000.00","33000","8500"
"33,000.00","33000","8500"
"4,280.00","4280","1900"
"9,400.00","9400","6180"
"18,012.00","18012","13530"
"50,000.00","50000","30800"
"21,690.00","21690","12040"
"20,000.00","20000","11900"
"528.00","528","240"
"31,000.00","30000","8400"
"31,000.00","30000","8400"
"31,000.00","30000","8400"
"31,000.00","30000","8400"
"31,000.00","30000","8400"
"31,000.00","30000","8400"
"31,000.00","30000","8400"
"31,000.00","30000","8400"
"800.00","800","550"
"30,000.00","9160","5790"
"880.00","880","730"
"320,000.00","320000","186000"
"112,000.00","112000","61800"
"105,000.00","105450","67900"
"83,657.00","83657","36600"
"180.00","180","110"
"9,280.00","9280","2150"
"140,000.00","140000","65300"
"768.00","768","110"
"78,000.00","78000","56100"
"2,460.00","2460","2210"
"102,000.00","102000","75000"
"2,394.00","2394","600"
"1,100.00","1100","650"
"424.00","424","150"
"60,000.00","60000","28000"
"5,335.00","5335","2060"
"82,000.00","88000","13600"
"1,000.00","1000","580"
"1,000.00","1000","670"
"1,600.00","1600","1070"
"40,000.00","40000","15100"
"6,820.00","6820","3420"
"11,000.00","11000","7220"
"56,000.00","56000","2400"
"12,000.00","12000","6510"
"3,000.00","0","1820"
"988.80","988.8","900"
"3,000.00","3000","1570"
"1,416.00","1416","350"
"60,000.00","60000","37800"
"2,120.00","2120","530"
"50,000.00","0","41400"
"2,880.00","2880","1280"
"25,000.00","25000","5100"
"396,000.00","396000","239000"
"8,500.00","8500","3390"
"15,800.00","15930","7660"
"4,278.00","4278","2800"
"26,000.00","26000","14100"
"4,997.00","4997","200"
"25,000.00","0","11800"
"55,000.00","55000","12600"
"45,000.00","45000","7300"
"40,000.00","40000","19600"
"9,000.00","9000","5390"
"7,500.00","7500","4880"
"54,938.00","54938","4000"
"46,000.00","46000","23900"
"1,808.00","1808","610"
