"Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","","","","","","","","","","","","","","","","","",""
"1,300.50","1300.5","0","","","","","","","","","","","","","","","","","",""
"1,396,200.00","1396200","731000","","","","","","","","","","","","","","","","","",""
"330,000.00","330000","181900","","","","","","","","","","","","","","","","","",""
"1,600.00","0","1060","","","","","","","","","","","","","","","","","",""
"165.60","165.6","0","","","","","","","","","","","","","","","","","",""
"240,000.00","243675","154400","","","","","","","","","","","","","","","","","",""
"210,000.00","210000","131700","","","","","","","","","","","","","","","","","",""
"2,056.00","2056","1100","","","","","","","","","","","","","","","","","",""
"831.00","831","360","","","","","","","","","","","","","","","","","",""
"300.00","300","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","800","","","","","","","","","","","","","","","","","",""
"120.00","120","0","","","","","","","","","","","","","","","","","",""
"940.00","940","0","","","","","","","","","","","","","","","","","",""
"140,000.00","140544","84700","","","","","","","","","","","","","","","","","",""
"999.00","999","0","","","","","","","","","","","","","","","","","",""
"39,000.00","39000","22000","","","","","","","","","","","","","","","","","",""
"960.00","960","0","","","","","","","","","","","","","","","","","",""
"52,500.00","52500","0","","","","","","","","","","","","","","","","","",""
"720.00","720","350","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","600","","","","","","","","","","","","","","","","","",""
"358.40","358.4","130","","","","","","","","","","","","","","","","","",""
"1,320.00","1320","0","","","","","","","","","","","","","","","","","",""
"600.00","600","0","","","","","","","","","","","","","","","","","",""
"12.00","12","0","","","","","","","","","","","","","","","","","",""
"460.00","460","260","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"12,400.00","12400","9010","","","","","","","","","","","","","","","","","",""
"2,900.00","2900","2630","","","","","","","","","","","","","","","","","",""
"625.60","625.6","0","","","","","","","","","","","","","","","","","",""
"7.20","7.2","0","","","","","","","","","","","","","","","","","",""
"300.00","300","0","","","","","","","","","","","","","","","","","",""
"1,520.00","1520","0","","","","","","","","","","","","","","","","","",""
"4,420.00","4420","0","","","","","","","","","","","","","","","","","",""
"302.40","302.4","70","","","","","","","","","","","","","","","","","",""
"975.00","975","0","","","","","","","","","","","","","","","","","",""
"500.00","500","0","","","","","","","","","","","","","","","","","",""
"2,340.00","2340","1220","","","","","","","","","","","","","","","","","",""
"920.00","920","640","","","","","","","","","","","","","","","","","",""
"3,375.00","3375","0","","","","","","","","","","","","","","","","","",""
"3,757.50","3757.5","0","","","","","","","","","","","","","","","","","",""
"696.00","696","0","","","","","","","","","","","","","","","","","",""
"160.00","160","0","","","","","","","","","","","","","","","","","",""
"1,250.00","1250","1010","","","","","","","","","","","","","","","","","",""
"7,200.00","7200","2690","","","","","","","","","","","","","","","","","",""
"910.00","910","0","","","","","","","","","","","","","","","","","",""
"46,000.00","46000","21000","","","","","","","","","","","","","","","","","",""
"920.00","920","0","","","","","","","","","","","","","","","","","",""
"550.00","550","400","","","","","","","","","","","","","","","","","",""
"2,000.00","2000","0","","","","","","","","","","","","","","","","","",""
"4,000.00","4000","1980","","","","","","","","","","","","","","","","","",""
"4,194.40","4194.4","0","","","","","","","","","","","","","","","","","",""
"650.00","650","0","","","","","","","","","","","","","","","","","",""
"384.00","384","0","","","","","","","","","","","","","","","","","",""
"16.00","16","0","","","","","","","","","","","","","","","","","",""
"2,100.00","0","1360","","","","","","","","","","","","","","","","","",""
"60.35","60.35","0","","","","","","","","","","","","","","","","","",""
"1,472.00","1472","0","","","","","","","","","","","","","","","","","",""
"428.00","428","270","","","","","","","","","","","","","","","","","",""
"312.08","312.08","0","","","","","","","","","","","","","","","","","",""
"5,040.00","5040","3590","","","","","","","","","","","","","","","","","",""
"1,120.00","1120","0","","","","","","","","","","","","","","","","","",""
"850.00","850","0","","","","","","","","","","","","","","","","","",""
"24.00","24","0","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"999.12","999.12","0","","","","","","","","","","","","","","","","","",""
"999.00","999","530","","","","","","","","","","","","","","","","","",""
"1,400.24","1400.24","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","530","","","","","","","","","","","","","","","","","",""
"2,408.00","2408","1030","","","","","","","","","","","","","","","","","",""
"4,770.00","4770","0","","","","","","","","","","","","","","","","","",""
"990.00","990","0","","","","","","","","","","","","","","","","","",""
"824.00","824","0","","","","","","","","","","","","","","","","","",""
"922.00","922","0","","","","","","","","","","","","","","","","","",""
"500.00","500","0","","","","","","","","","","","","","","","","","",""
"3,000.00","3000","0","","","","","","","","","","","","","","","","","",""
"560.00","560","320","","","","","","","","","","","","","","","","","",""
"1,192,000.00","1192000","499700","","","","","","","","","","","","","","","","","",""
"6,970.00","6970","3030","","","","","","","","","","","","","","","","","",""
"1.03","1.03","0","","","","","","","","","","","","","","","","","",""
"12.00","12","0","","","","","","","","","","","","","","","","","",""
"16.00","16","0","","","","","","","","","","","","","","","","","",""
"24.00","24","0","","","","","","","","","","","","","","","","","",""
"10.25","10.25","0","","","","","","","","","","","","","","","","","",""
"28.00","28","0","","","","","","","","","","","","","","","","","",""
"950.00","950","0","","","","","","","","","","","","","","","","","",""
"500.00","500","220","","","","","","","","","","","","","","","","","",""
"180,000.00","180000","84600","","","","","","","","","","","","","","","","","",""
"540.00","540","0","","","","","","","","","","","","","","","","","",""
"4,230.00","4230","0","","","","","","","","","","","","","","","","","",""
"1,216,000.00","1216000","582000","","","","","","","","","","","","","","","","","",""
"14,000.00","14000","6680","","","","","","","","","","","","","","","","","",""
"13,800.00","11360","7000","","","","","","","","","","","","","","","","","",""
"620.40","620.4","0","","","","","","","","","","","","","","","","","",""
"140,000.00","140040","68400","","","","","","","","","","","","","","","","","",""
"800.00","800","450","","","","","","","","","","","","","","","","","",""
"2,560.00","2560","0","","","","","","","","","","","","","","","","","",""
"1,260.00","1260","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","790","","","","","","","","","","","","","","","","","",""
"399,000.00","399000","207900","","","","","","","","","","","","","","","","","",""
"500.00","500","0","","","","","","","","","","","","","","","","","",""
"4,040.00","4040","2990","","","","","","","","","","","","","","","","","",""
"2,082,000.00","2082000","964300","","","","","","","","","","","","","","","","","",""
"52,000.00","52000","28000","","","","","","","","","","","","","","","","","",""
"796.00","796","0","","","","","","","","","","","","","","","","","",""
"720.00","720","570","","","","","","","","","","","","","","","","","",""
"21,600.00","22020","10440","","","","","","","","","","","","","","","","","",""
"1,569.99","1569.99","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","680","","","","","","","","","","","","","","","","","",""
"8,400.00","8400","5200","","","","","","","","","","","","","","","","","",""
"607.75","607.75","0","","","","","","","","","","","","","","","","","",""
"680.00","680","0","","","","","","","","","","","","","","","","","",""
"999.00","999","0","","","","","","","","","","","","","","","","","",""
"848.00","848","0","","","","","","","","","","","","","","","","","",""
"1,200.00","1200","0","","","","","","","","","","","","","","","","","",""
"1,260.00","1260","0","","","","","","","","","","","","","","","","","",""
"256.00","256","210","","","","","","","","","","","","","","","","","",""
"1,250.00","1250","960","","","","","","","","","","","","","","","","","",""
"630.00","630","0","","","","","","","","","","","","","","","","","",""
"476,000.00","492100","289500","","","","","","","","","","","","","","","","","",""
"1,575.00","1575","0","","","","","","","","","","","","","","","","","",""
"1,440,000.00","1440000","689700","","","","","","","","","","","","","","","","","",""
"4,000.00","4000","2740","","","","","","","","","","","","","","","","","",""
"7,700.00","7700","1840","","","","","","","","","","","","","","","","","",""
"2,032.00","2032","0","","","","","","","","","","","","","","","","","",""
"416.00","416","390","","","","","","","","","","","","","","","","","",""
"640.00","640","30","","","","","","","","","","","","","","","","","",""
"736.00","736","110","","","","","","","","","","","","","","","","","",""
"1,260.00","1260","0","","","","","","","","","","","","","","","","","",""
"408,000.00","408000","198200","","","","","","","","","","","","","","","","","",""
"100.00","100","0","","","","","","","","","","","","","","","","","",""
"736.00","736","0","","","","","","","","","","","","","","","","","",""
"7,360.00","7360","0","","","","","","","","","","","","","","","","","",""
"970.00","970","0","","","","","","","","","","","","","","","","","",""
"680.00","680","0","","","","","","","","","","","","","","","","","",""
"190.00","190","0","","","","","","","","","","","","","","","","","",""
"6,468.00","6468","4660","","","","","","","","","","","","","","","","","",""
"510,000.00","510000","270100","","","","","","","","","","","","","","","","","",""
"3,000.00","3000","1940","","","","","","","","","","","","","","","","","",""
"73.04","73.04","0","","","","","","","","","","","","","","","","","",""
"450.00","450","0","","","","","","","","","","","","","","","","","",""
"1,400.00","1400","0","","","","","","","","","","","","","","","","","",""
"500.00","500","0","","","","","","","","","","","","","","","","","",""
"4,080.00","4080","2360","","","","","","","","","","","","","","","","","",""
"5,000.00","2944","3650","","","","","","","","","","","","","","","","","",""
"300.00","300","0","","","","","","","","","","","","","","","","","",""
"765.00","765","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"8,780.00","8860","0","","","","","","","","","","","","","","","","","",""
"9,400.00","9400","6180","","","","","","","","","","","","","","","","","",""
"18,012.00","18012","13530","","","","","","","","","","","","","","","","","",""
"50,000.00","50000","30800","","","","","","","","","","","","","","","","","",""
"636.00","636","0","","","","","","","","","","","","","","","","","",""
"528.00","528","240","","","","","","","","","","","","","","","","","",""
"1,260.00","1260","0","","","","","","","","","","","","","","","","","",""
"800.00","800","550","","","","","","","","","","","","","","","","","",""
"1,456.00","1456","0","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"880.00","880","730","","","","","","","","","","","","","","","","","",""
"320,000.00","320000","186000","","","","","","","","","","","","","","","","","",""
"112,000.00","112000","61800","","","","","","","","","","","","","","","","","",""
"950.00","950","0","","","","","","","","","","","","","","","","","",""
"352.00","352","0","","","","","","","","","","","","","","","","","",""
"525.00","525","0","","","","","","","","","","","","","","","","","",""
"130.40","130.4","0","","","","","","","","","","","","","","","","","",""
"105,000.00","105450","67900","","","","","","","","","","","","","","","","","",""
"300.00","300","0","","","","","","","","","","","","","","","","","",""
"83,657.00","83657","36600","","","","","","","","","","","","","","","","","",""
"990.00","990","0","","","","","","","","","","","","","","","","","",""
"180.00","180","110","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"140,000.00","140000","65300","","","","","","","","","","","","","","","","","",""
"768.00","768","110","","","","","","","","","","","","","","","","","",""
"78,000.00","78000","56100","","","","","","","","","","","","","","","","","",""
"7.20","7.2","0","","","","","","","","","","","","","","","","","",""
"4,505.00","4505","0","","","","","","","","","","","","","","","","","",""
"102,000.00","102000","75000","","","","","","","","","","","","","","","","","",""
"954.75","954.75","0","","","","","","","","","","","","","","","","","",""
"1,100.00","1100","650","","","","","","","","","","","","","","","","","",""
"424.00","424","150","","","","","","","","","","","","","","","","","",""
"60,000.00","60000","28000","","","","","","","","","","","","","","","","","",""
"440.30","440.3","0","","","","","","","","","","","","","","","","","",""
"704.00","704","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","580","","","","","","","","","","","","","","","","","",""
"288.00","288","0","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"297.00","297","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","670","","","","","","","","","","","","","","","","","",""
"650.00","500","0","","","","","","","","","","","","","","","","","",""
"1,600.00","1600","1070","","","","","","","","","","","","","","","","","",""
"800.00","800","0","","","","","","","","","","","","","","","","","",""
"1,616.00","1616","0","","","","","","","","","","","","","","","","","",""
"1,000.00","1000","0","","","","","","","","","","","","","","","","","",""
"3,200.00","3200","0","","","","","","","","","","","","","","","","","",""
"999.00","999","0","","","","","","","","","","","","","","","","","",""
"588.00","588","0","","","","","","","","","","","","","","","","","",""
"680.00","680","0","","","","","","","","","","","","","","","","","",""
"3,000.00","0","1820","","","","","","","","","","","","","","","","","",""
"988.80","988.8","900","","","","","","","","","","","","","","","","","",""
"320.00","320","0","","","","","","","","","","","","","","","","","",""
"3,000.00","3000","1570","","","","","","","","","","","","","","","","","",""
"333,700.00","333700","0","","","","","","","","","","","","","","","","","",""
"1,416.00","1416","350","","","","","","","","","","","","","","","","","",""
"60,000.00","60000","37800","","","","","","","","","","","","","","","","","",""
"2,120.00","2120","530","","","","","","","","","","","","","","","","","",""
"1,500.00","1500","0","","","","","","","","","","","","","","","","","",""
"470.40","470.4","0","","","","","","","","","","","","","","","","","",""
"396,000.00","396000","239000","","","","","","","","","","","","","","","","","",""
"8,500.00","8500","3390","","","","","","","","","","","","","","","","","",""
"656.00","656","0","","","","","","","","","","","","","","","","","",""
"440.00","440","0","","","","","","","","","","","","","","","","","",""
"100.00","100","0","","","","","","","","","","","","","","","","","",""
"990.00","990","0","","","","","","","","","","","","","","","","","",""
"2,500.00","2500","0","","","","","","","","","","","","","","","","","",""
"990.00","990","0","","","","","","","","","","","","","","","","","",""
"20.00","20","0","","","","","","","","","","","","","","","","","",""
"16,500.00","16500","0","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
